group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
A2_L1_10,SPINK2,2.5960164,2.0549517,0.009431154856314485,0.9999330943640848,0.5,0.19631853164423052
A2_L1_10,ANKRD28,2.4507122,1.6559902,0.014257393835672856,0.9999330943640848,0.5666666666666667,0.31604559519716485
A2_L1_10,HIST1H1C,2.4292605,1.6871573,0.015129659075808407,0.9999330943640848,0.5666666666666667,0.31773822432625426
A2_L1_10,PTTG1IP,1.995822,1.4381204,0.04595330872733763,0.9999330943640848,0.4666666666666667,0.2790193329983338
A2_L1_10,RAB10,1.9369512,1.5704904,0.05275131666332242,0.9999330943640848,0.4,0.19671524159636083
A2_L1_10,LRRC75A-AS1,1.9239597,1.3058789,0.05435962651796613,0.9999330943640848,0.8333333333333334,0.6172542381846553
A2_L1_10,FLT3,1.8621713,1.3192693,0.06257894143313412,0.9999330943640848,0.4666666666666667,0.24516675041654545
A2_L1_10,HIST1H1D,1.790443,1.2494603,0.07338273148772424,0.9999330943640848,0.5666666666666667,0.40229033879029913
A2_L1_10,GATA2,1.6626444,2.3775358,0.09638365141132553,0.9999330943640848,0.23333333333333334,0.0559625505805189
A2_L1_10,DNAAF2,1.6552207,2.3509672,0.09787973910188315,0.9999330943640848,0.23333333333333334,0.05736425907804607
A2_L1_10,RC3H1,1.4898441,1.3686423,0.13626523588830922,0.9999330943640848,0.3333333333333333,0.1822221046785327
A2_L1_10,PAICS,1.4645553,1.1566026,0.14304230500420556,0.9999330943640848,0.36666666666666664,0.2109703525429108
A2_L1_10,ACADM,1.4487047,1.238451,0.1474200520984827,0.9999330943640848,0.3333333333333333,0.17275396048768876
A2_L1_10,ZNF704,1.3997238,3.5307815,0.16159604831402907,0.9999330943640848,0.16666666666666666,0.019729708285948534
A2_L1_10,MRPS21,1.3873427,0.9892444,0.16533729036416966,0.9999330943640848,0.4,0.23085874480971147
A2_L1_10,R3HDM2,1.3861221,1.2737755,0.16570961078479296,0.9999330943640848,0.3,0.1469149189389331
A2_L1_10,HERC1,1.3790914,1.3300973,0.16786656912452858,0.9999330943640848,0.3,0.15336806749358653
A2_L1_10,BAALC,1.3615606,1.9600097,0.17333659779026533,0.9999330943640848,0.2,0.05321202824574859
A2_L1_10,EGR1,1.329475,1.4825929,0.18369127757389303,0.9999330943640848,0.26666666666666666,0.12803152521752928
A2_L1_10,PRPSAP2,1.328823,2.080209,0.18390636654965575,0.9999330943640848,0.2,0.06032636005395255
A2_L1_10,GADD45GIP1,1.3251446,0.917366,0.18512318349325863,0.9999330943640848,0.4,0.23516965962286107
A2_L1_10,DARS,1.3186156,1.0572908,0.18729768463908447,0.9999330943640848,0.36666666666666664,0.2208881013461691
A2_L1_10,MMRN1,1.313633,2.1463275,0.18896974426745528,0.9999330943640848,0.2,0.0659860887043453
A2_L1_10,MIER1,1.2806278,0.87171054,0.2003244012670382,0.9999330943640848,0.4666666666666667,0.30472613789637937
A2_L1_10,FAM30A,1.2747006,1.1723531,0.20241520743097663,0.9999330943640848,0.3,0.15302425220174024
A2_L1_10,MPLKIP,1.2610406,1.7072122,0.20729425166393523,0.9999330943640848,0.23333333333333334,0.10941260479754569
A2_L1_10,CAPZA2,1.2598033,0.9634098,0.20774035124736545,0.9999330943640848,0.36666666666666664,0.22810822247494114
A2_L1_10,CD69,1.2410603,1.0363662,0.2145835027144708,0.9999330943640848,0.3333333333333333,0.19449366586443098
A2_L1_10,ATXN7L3B,1.1975551,1.1645921,0.23109029493672406,0.9999330943640848,0.3,0.1763772447171458
A2_L1_10,RUFY1,1.1906748,1.256759,0.23378128212664817,0.9999330943640848,0.26666666666666666,0.14218084684351115
A2_L1_10,H1F0,1.1899391,1.417781,0.23407032732274735,0.9999330943640848,0.23333333333333334,0.10647695115178123
A2_L1_10,KLHDC2,1.1871552,1.7586286,0.23516639255202765,0.9999330943640848,0.2,0.07545423289518922
A2_L1_10,NDUFAF2,1.172308,1.3729366,0.24107343613407206,0.9999330943640848,0.23333333333333334,0.11076141863478882
A2_L1_10,CPA3,1.1673254,2.115678,0.24307897295694914,0.9999330943640848,0.16666666666666666,0.04181322895453704
A2_L1_10,STAT3,1.1550195,0.9738008,0.24808240945133497,0.9999330943640848,0.3,0.16556028668905873
A2_L1_10,SENP6,1.1544678,0.770499,0.24830842409442844,0.9999330943640848,0.4666666666666667,0.30707995027901935
A2_L1_10,AREG,1.1508312,0.90443754,0.24980166970269235,0.9999330943640848,0.3333333333333333,0.19221919547221708
A2_L1_10,MRPS5,1.1403061,1.0511744,0.254158814499183,0.9999330943640848,0.26666666666666666,0.1386633519346222
A2_L1_10,TOMM40,1.1397878,2.0542789,0.25437474194874676,0.9999330943640848,0.16666666666666666,0.04599190711697654
A2_L1_10,PHKB,1.1020175,1.1151117,0.2704540765021266,0.9999330943640848,0.23333333333333334,0.11023247203194837
A2_L1_10,PRPF40A,1.1002284,0.72294706,0.2712326019745144,0.9999330943640848,0.5333333333333333,0.39414456110655627
A2_L1_10,CHMP5,1.097386,1.1162167,0.27247266632368083,0.9999330943640848,0.26666666666666666,0.1534474094840126
A2_L1_10,LTV1,1.0660112,1.1346151,0.286418601903753,0.9999330943640848,0.23333333333333334,0.11726746184972626
A2_L1_10,ABRAXAS1,1.0472765,1.3752834,0.29497207460686614,0.9999330943640848,0.2,0.08801671471264975
A2_L1_10,MAPKAPK3,1.043339,1.4289078,0.29679133547977166,0.9999330943640848,0.2,0.0917722355928169
A2_L1_12,GATA2,9.75805,5.2130823,1.7040008181524715e-22,5.112002454457414e-19,0.5752212389380531,0.05454834605597964
